aalib 1.4rc5-17
abseil-cpp 20230802.1-1
acl 2.3.1-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
alsa-card-profiles 1:1.0.1-1
alsa-lib 1.2.10-2
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.10-2
amd-ucode 20231211.f2e52a1c-1
aom 3.8.0-2
appstream 1.0.1-2
apr 1.7.4-1
apr-util 1.6.3-1
arch-install-scripts 28-1
archlinux-keyring 20231222-1
argon2 20190702-5
at-spi2-core 2.50.1-1
atkmm 2.28.3-1
attica5 5.114.0-1
attr 2.5.2-1
audit 3.1.2-1
autoconf 2.72-1
automake 1.16.5-2
avahi 1:0.8+r194+g3f79789-1
ayatana-ido 0.10.1-1
baloo-widgets 23.08.4-1
baloo5 5.114.0-1
base 3-2
base-devel 1-1
bash 5.2.021-1
binutils 2.41-3
bison 3.8.2-6
bluez-libs 5.72-2
boost-libs 1.83.0-4
botan 3.2.0-1
box2d 2.4.1-2
brave-bin 1:1.61.120-1
breezy 3.3.4-2
bridge-utils 1.7.1-1
brltty 6.6-4
brotli 1.1.0-1
btrfs-progs 6.6.3-1
bzip2 1.0.8-5
c-ares 1.25.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.96.1-1
ca-certificates-utils 20220905-1
cairo 1.18.0-1
cairomm 1.14.5-1
candy-icons-git r1110.e4464d7-1
cantarell-fonts 1:0.303.1-1
capstone 4.0.2-7
cdparanoia 10.2-9
chrono-date 3.0.1-3
cifs-utils 7.0-3
clang 16.0.6-1
clucene 2.3.3.4-14
cmake 3.28.1-1
compiler-rt 16.0.6-3
containerd 1.7.12-1
convertlit 1.8-11
copyq 7.1.0-2
coreutils 9.4-2
cpio 2.15-1
cppdap 1.58.0-1
cryptsetup 2.6.1-3
curl 8.5.0-1
dav1d 1.3.0-1
db 6.2.32-1
db5.3 5.3.28-4
dbus 1.14.10-2
dbus-broker 35-2
dbus-broker-units 35-2
dconf 0.40.0-2
debugedit 5.0-5
debuginfod 0.190-1
default-cursors 2-1
delve 1.22.0-1
desktop-file-utils 0.27-1
device-mapper 2.03.23-1
devtools 1:1.0.4-1
diffutils 3.10-1
discord 0.0.40-1
dmidecode 3.5-1
dnsmasq 2.89-1
dnssec-anchors 20190629-3
docker 1:24.0.7-1
dolphin 23.08.4-1
double-conversion 3.3.0-1
dtc 1.7.0-4
duktape 2.7.0-6
e2fsprogs 1.47.0-1
ebook-tools 0.2.2-7
edk2-aarch64 202311-1
edk2-arm 202311-1
edk2-ovmf 202311-1
efibootmgr 18-2
efivar 38-3
ell 0.61-1
exiv2 0.28.1-1
exo 4.18.0-1
expat 2.5.0-1
fakeroot 1.32.2-1
feh 3.10.2-1
ffmpeg 2:6.1.1-1
fftw 3.3.10-4
file 5.45-1
filesystem 2023.09.18-1
findutils 4.9.0-3
firefox 121.0.1-1
flac 1.4.3-1
flex 2.6.4-5
fmt 10.2.0-1
fontconfig 2:2.15.0-2
fonts-cjk r17.6c32da2-1
